,title,href,Date
23,हल्ला बोल: महाराष्ट्र की सियासत ने विपक्ष का खेल खराब कर दिया?,https://www.aajtak.in/programmes/halla-bol/video/maharashtra-politics-ajit-pawar-rebellion-in-nationalist-congress-party-joined-shinde-government-camp-1727318-2023-07-02,2023-07-02
24,हल्ला बोल: क्या विपक्षी एकजुटता 2024 के लोकसभा चुनाव तक कायम रहेगी?,https://www.aajtak.in/programmes/halla-bol/video/amit-shah-lashed-out-at-nitish-kumar-accused-him-of-betraying-bjp-will-opposition-unity-last-until-2024-1726123-2023-06-30,2023-06-30
25,"हल्ला बोल: UCC के मुद्दे पर कौन साथ खड़ा, कौन विरोध में अड़ा?",https://www.aajtak.in/programmes/halla-bol/video/bjp-preparations-started-to-bring-in-uniform-civil-code-before-2024-lok-sabha-election-debate-1725410-2023-06-29,2023-06-29
26,गठबंधन की नींव कितनी मजबूत? जारी रहेगा मतभेद या दिखेगी एकजुटता; देखें हल्ला बोल,https://www.aajtak.in/programmes/halla-bol/video/2024-lok-sabha-elections-opposition-to-meet-in-shimla-will-it-unite-in-monsoon-session-1724748-2023-06-28,2023-06-28
27,"हल्ला बोल: मोदी ने गिनाए घोटाले, MP के मैदान में किस तरह का गेम?",https://www.aajtak.in/programmes/halla-bol/video/pm-modi-in-madhya-pradesh-hits-opposition-over-corruption-big-debate-with-anjana-om-kashyap-bjp-congress-1723900-2023-06-27,2023-06-27
28,हिंदुत्व पर छिड़ा घमासान.... 2024 की 'राह' किसकी होगी आसान? देखें हल्ला बोल ,https://www.aajtak.in/programmes/halla-bol/video/2024-elections-heats-up-political-parties-competition-intensifies-over-hindutava-congress-vs-bjp-1722535-2023-06-25,2023-06-25
29,क्या समान नागरिक संहिता के जरिए BJP कर रही ध्रुवीकरण की राजनीति? देखें हल्ला बोल,https://www.aajtak.in/programmes/halla-bol/video/bjp-using-uniform-civil-code-for-winning-2024-election-or-doing-social-reform-political-debate-1722053-2023-06-24,2023-06-24
30,अमेरिका में पीएम के बयान पर भारत में विपक्ष का बखेड़ा! देखें हल्ला बोल,https://www.aajtak.in/programmes/halla-bol/video/pm-modi-in-us-over-state-visit-opposition-targeting-over-democracy-latest-news-in-hindi-1721546-2023-06-23,2023-06-23
31,"अमेरिका दौरे का सबसे अहम दिन, होगी सबसे बड़ी डील, मोदी रचेंगे इतिहास",https://www.aajtak.in/programmes/halla-bol/video/most-important-day-of-america-tour-biggest-deal-to-be-signed-pm-modi-will-create-history-1720804-2023-06-22,2023-06-22
32,"दुनिया देखेगी हिंदुस्तान का दम, जब मिलेंगे मोदी-बाइडेन... देखें हल्ला बोल ",https://www.aajtak.in/programmes/halla-bol/video/world-will-see-power-of-india-when-pm-modi-us-president-joe-biden-meet-pakistan-china-1719385-2023-06-20,2023-06-20
33,"US में होगा भारत की ताकत का एहसास, मोदी जितना लोकप्रिय कोई नहीं?",https://www.aajtak.in/programmes/halla-bol/video/people-of-indian-community-took-out-unity-rally-in-washington-ahead-of-pm-modi-usa-tour-debate-1718632-2023-06-19,2023-06-19
34,"MP में कांग्रेस के साथ बजरंग सेना का विलय, कर्नाटक में फर्क क्यों?",https://www.aajtak.in/programmes/halla-bol/video/congress-party-different-stand-over-hindutva-in-karnataka-election-and-madhya-pradesh-debate-1718000-2023-06-18,2023-06-18
35,पॉलिटिकल स्टॉक एक्सचेंज: 'फ्री' वाली योजनाओं का सरकार पर कितना बोझ?,https://www.aajtak.in/programmes/halla-bol/video/political-parties-focus-on-promises-of-freebies-how-much-burden-of-free-schemes-on-government-analysis-1717464-2023-06-17,2023-06-17
36,"हल्ला बोल: बदला नेहरू मेमोरियल का नाम, कांग्रेस का बीजेपी पर हमला!",https://www.aajtak.in/programmes/halla-bol/video/nehru-memorial-to-be-known-as-prime-minister-memorial-congress-furious-over-modi-government-decision-debate-1716893-2023-06-16,2023-06-16
